action	UP	DOWN	FRONT	BACK	CENTER	PERIPHERY	CONTACT	IN	OUT	SURFACE	CYCLE	S-P-G	NEAR	FAR	explained schema
become_dependent_upon							1								being very close
are_frustrated_by			-1	1											backing off
lease_to,lease_from,rent_to,rent_from								-1	1						give out to someone
are_motivated_by	1														rise motivation up
model_for,pose_for					-1	1									express outwards
are_guaranteed_by,guarantee								1							take in guarantee
are_chronicled_by												1			mulitple things after another
are_graded_by					1										summarize in one central grade
are_overrun_by										1					go across surface
are_scripted_by												1			follow steps
are_picked_by,pick,select,are_selected_by								1							put someone in a list
decapitate	1														take head up
are_discovered_by								-1	1						being cast out of hiding
play_against							1								against
are_insured_by										1					cover
act_via					-1	1									express outwards
communicate_through,speak_for					-1	1									express outwards
communicate_via					-1	1									express outwards
are_usurped_by	1														take someone up
talk_through					-1	1									express outwards
leave_behind			-1	1											behind / back
dress										1					superficial change
are_judged_by					1										summarize one central judgement
seek_sympathy_from													1		seeking to be near
are_retained_by			-1	1											holding back
are_traumatized_by											1				harmful process
pitch_at	1														
sire								1							take someone in inner circle
are_ennobled_by								1							take someone in inner circle
argue_before			1												in front of
unleash													-1	1	send far
discipline	-1	1													speak down 
minister_to								1							take in care
raise,are_raised_by,nurture,are_nurtured_by	1														
round_up	1														
pick_up	1														
chase,are_chased_by,chase_after												1			follow multiple steps
commission													1		bring something near
are_roused_by,rouse	1														
create_for					-1	1									express outwards
write_for					-1	1									express outwards
compose_with					-1	1									express outwards
take_messages_for								1							take in the messages
are_charged_by,charge											1				process
advocate_for,testify_for,testify_against,testify_before			1												in front of, expressing, externalising
are_owed_by,owe,owe_to								1							take in / possess
are_profiled_by										1					superficial act
write_to													-1	1	write to someone far
interpret_for											1				it's a cyclic process
are_probed_by													1		get closer
anger							1								
borrow_from,lend_to								-1	1						give out to
are_elected_by,elect	1														up voted
cause_trouble_for											1				start a process
are_overwhelmed_by	1														over up
molest,harass							1								
assassinate							1								
blow_up	1														
beat_up							1								
mourn_for	-1	1													feeling down
joke_about	-1	1													look down on
identify											1				
interact_with							1								
descend_from	-1	1													
are_wanted_by													-1	1	
are_bullied_by,bully											1				
breastfeed			1												
attend_to,are_attended_by,attend													1		
cook_for,cook_for								-1	1						sharing, providing
farm_for										1					
export_to												1			
order_from												1			
popularize,are_popularized_by	1														
deliver_to												1			
carry_for												1			
please													1		getting close
shill_for					-1	1									reach out for someone
are_overshadowed_by,overshadow	1														
are_overlooked_by	1														
