Action;Similar;Opposite;A feeling;B feeling
assassinate;kill, murder, execute, decapitate, are_arrested_for_killing, destroy, terrorize;save, protect, defend, rescue;;attacked+++
assault;attack, destroy, hurt, punish, hit, abuse, disfigure, beat_up, blow_up, are_arrested_for_hurting, devour, harass;protect, defend, rescue;;attacked++
attend_to;tend, wait_on, cater_to, pander_to, spoil, look_after, care_for, cook_for, indulge;ignore, cause_trouble_for;;respected+, supported+
baptise;welcome, convert, baptize, recruit, ordain;denounce, curse;;
baptize;welcome, convert, baptise, ordain;denounce, curse;;
beat_up;abuse, hit, attack, assault, hurt, punish, destroy, are_arrested_for_hurting, disfigure, terrorize, whip;save, protect, defend, rescue;;attacked++
beautify;enhance, style_for;satirize;;supported+
become_dependent_upon;act_via, are_attended_by, are_cared_for_by, rely_on;lose_faith_in;inspired++;respected++
blow_up;attack, destroy, kill, murder, terrorize, assault;nurture, support;;attacked+++
borrow_from;are_funded_by, are_financed_by, are_facilitated_by, steal_from;steal_from, lend_to;supported+;
brainwash;indoctrinate, lead_astray, corrupt, control, manipulate, convert, dominate, enchant, enlist, lead, guide, influence, ordain;free;respected++;inspired+++
breastfeed;look_after, tend, nurture, raise, care_for, indulge;starve;;supported++
build_for;create_for, design_for, work_for;destroy, undermine, cause_trouble_for;;respected++
bully;harass, abuse, persecute, threaten, torment, taunt, pick_on, prey_on, heckle, embarrass, intimidate, terrorize;support, encourage, defend, protect;inspired--;attacked+, disrespected++
carry_for;support, work_for, facilitate, labor_for, sweat_for;abandon, fail_to_deliver_for, cause_trouble_for;;respected+
cause_trouble_for;torment, fail_to_deliver_for, fail_to_impress, embarrass,  anger, harass;support, encourage, sweat_for, labor_for, negotiate_for, act_for;;disappointed++
censure;repress, silence, suppress, oppress, chastise, discipline;encourage, reward;inspired--, disappointed++;disrespected+, attacked+
challenge;taunt, stand_up_to, resist, struggle_against, debate, compete_against, target, run_against, disrespect, fight;fear, run_away_from;;attacked+, respected+
champion;favor, promote, advocate_for, campaign_for, support, encourage, propagandize_for, popularize, rouse;satirize, denounce, condemn, brief_against, campaign_against;respected++;respected+
charge;accuse, arrest, prosecute;champion, testify_for;inspired-;attacked+, disrespected++
chase;pursue, harass, chase_after, pick_on, track_down, hunt, prey_on, seek, search_for;lose_interest_in, ignore;attracted+;repelled+
chase_after;track_down, hunt, prey_on, pursue, seek, are_eluded_by, take_aim_at, search_for, woo, chase;lose_interest_in, ignore;attracted+;repelled+
collude_with;conspire_with, work_with, abet, compose_with, perform_with;snitch_on, break_with;respected+;respected+
commission;delegate_to, act_via, hire, sign_up, deploy, dispatch, send;fire, dismiss;;respected+, supported+
communicate_through;talk_through, speak_through, communicate_via;are_misrepresented_by;respected++;respected+
communicate_via;talk_through, speak_through, communicate_through, talk_to, govern_via;are_misrepresented_by;respected++;respected+
communicate_with;confer_with, speak_to, talk_to, listen_to, chat_with, interact_with, live_with, speak_with, write_to;ignore, silence;respected+;respected+
compose_with;work_with, abet, conspire_with, collude_with, perform_with, sing_with;break_with;respected+, inspired+;respected+, inspired+
confess_to;seek_forgiveness_from, confide_in, share_stories_with, speak_to;lie_to, accuse;;respected++, disappointed++
conquer;subdue, subjugate, kill, dominate, oppress, defeat, supplant, topple;lose_to, surrender_to;respected+;attacked+++
consort_with;date, travel_with, drink_with, sleep_with, take_up_with, accompany;avoid;attracted+;attracted+
convert;persuade, indoctrinate, brainwash, baptise, sign_up, recruit, enlist, baptize, ordain;denounce, excommunicate, cast_out, corrupt;respected++;
cook_for;attend_to, tend, cater_to, pander_to, spoil, wait_on, work_for, create_for, design_for, provide_for;starve, cause_trouble_for;;respected+, supported+
corrupt;lead_astray, entice, seduce, blackmail, bribe, brainwash;inspire, convert;respected++;supported--
countersue;sue, struggle_against;settle_with;attacked+;attacked+
create_for;work_for, design_for, build_for, cook_for, style_for;destroy, undermine, fail_to_deliver_for, cause_trouble_for;;respected+, supported+
deal_with;negotiate_with, settle_with, debate_with, argue_with, play_against, compete_against;break_with;;
debrief;question, interrogate, interview;silence, tune_out;;
decapitate;kill, murder, execute, assassinate, are_arrested_for_killing;free, release;;attacked+++
deliver_to;supply, sell_to, supply_to;fail_to_deliver_for;;supported+
descend_from;inherit_from;curse, denounce;;
design_for;build_for, create_for, cook_for;fail_to_deliver_for, cause_trouble_for;;respected+, supported+
despise;dislike, resent, struggle_against, hate, disrespect, laugh_at, harden_toward;love, respect, look_up_to;disappointed++, repelled+++;disrespected+++
discipline;punish, chastise, whip, hit, coach, censure;pamper, pander_to;respected++;attacked+
distrust;dislike, harden_toward, grow_suspicious_of;trust;;disrespected+
dress;enhance, style_for;abandon, ignore;;supported+
drive_for;guide, navigate_for, transport;leave_behind, cause_trouble_for;;supported+
