Action;Similar;Opposite;A feeling;B feeling
appeal_to;obtain_sympathy_from, seek_sympathy_from, reach_out_to, pitch_at;resent;;respected+
are_driven_mad_by;are_overworked_by, are_frustrated_by, are_hindered_by, are_pushed_too_far_by, are_tormented_by, are_persecuted_by, are_ruined_by;are_entertained_by;repelled++, supported-, disappointed+++;disrespected++
are_hardened_by;harden_toward, lose_faith_in, are_drilled_by, are_radicalized_by, are_tormented_by;are_moved_by;repelled+, supported-, disappointed+;disrespected+
are_incarcerated_by;are_imprisoned_by, are_detained_by, are_captured_by, are_enslaved_by;are_freed_by, are_released_by;attacked+, supported--;disrespected++
confide_in;confess_to, share_stories_with, trust, believe_in, consult_with, complain_to, speak_to, reach_out_to, testify_before;lie_to, ignore;inspired+;respected++
flatter;compliment, kiss_up_to, curry_favor_with, lick_up_to, entice, charm, suck_up_to, praise, please, popularize;insult, laugh_at, mock, taunt, condescend_to;attracted+;respected+, supported+
interview;question, interrogate, cross_examine, speak_to, debrief, examine;silence;inspired+;respected+
let_in;host, welcome, accommodate, rent_to, lease_to, summon, receive, are_visited_by;eject, evict;;respected+
repay;pay_off, settle_with, buy_off;refuse_to_pay, withhold_payment_from;;respected+
serve;report_to, work_for, support, obey, are_indoctrinated_by, worship, die_for, believe_in, tend, cater_to, care_for, pander_to, are_overworked_by, wait_on, work_under;rebel_against, rise_against, disobey, upstage;;respected++, supported++
support;accompany, serve, work_for, obey, vote_for, fight_for, propagandize_for, champion, campaign_for, testify_for, are_exploited_by, assist, show_loyalty_to, deliver_for, help, carry_for, facilitate, finance, guarantee, nurture;undermine, campaign_against, cause_trouble_for;inspired+;respected++, supported++
upstage;supplant, embarrass, humiliate, topple, overthrow, defeat;serve, obey;;disrespected++, supported--
appoint;hire, enlist, recruit, promote, sign_up, elect, ordain;dismiss, fire;supported+;supported++
are_banished_by;are_exorcized_by, are_expelled_by, are_ejected_by, are_cut_off_by, are_dismissed_by, are_fired_by, are_divorced_by, are_excommunicated_by, are_evicted_by;are_welcomed_by, are_appreciated_by;disrespected+++;repelled+++
are_copied_by;are_imitated_by, are_impersonated_by;are_ignored_by;disappointed+, respected+;inspired+
are_deflowered_by;sleep_with, are_seduced_by, are_kissed_by, mate_with;are_spurned_by, resist;;attracted++
are_eluded_by;chase_after, pursue;track_down;attracted+;repelled++
are_forgiven_by;obtain_sympathy_from, seek_sympathy_from, settle_with;are_resented_by;inspired+;disappointed--
are_heckled_by;are_booed_by, are_mocked_by, are_taunted_by, are_criticized_by, are_insulted_by, are_abused_by, are_cursed_by, are_chastised_by, are_challenged_by, are_scolded_by, are_offended_by, are_rebuked_by, are_tormented_by, are_bullied_by, are_harassed_by;are_complimented_by, are_flattered_by;disrespected++;inspired--
are_intrigued_by;are_mystified_by, are_attracted_by, are_lured_by, are_enchanted_by;are_bored_with;attracted+, inspired+;
are_recalled_by;are_summoned_by;are_banished_by;;disappointed++
are_ruled_by;are_commanded_by, are_bullied_by, obey, answer_to, report_to, are_suppressed_by, work_under;overthrow, rise_against, depose;inspired+;respected++
buy_off;bribe, pay_off, coerce, repay, appease, invest_in, seduce;refuse_to_pay;;disrespected+, supported+
denounce;break_with, condemn, renounce, curse, criticize, insult, testify_against, stand_up_to, cast_out, overcome, rebuff, reject, dislike, brief_against;suck_up_to, kiss_up_to;inspired--;disrespected+++, supported--
fire;dismiss, eject, cast_out, release, abandon, evict, excommunicate;promote, hire;inspired--, disappointed++;disrespected+
hire;appoint, recruit, enlist, sign_up, commission;fire, dismiss;supported+, respected++;respected+
imitate;copy, impersonate, are_mistaken_for, are_inspired_by, look_up_to, admire, mimic, resemble;ignore, tune_out;inspired+;disappointed+, respected+
labor_for;obey, are_overworked_by, sweat_for, work_for, are_enslaved_by, are_hired_by, carry_for, farm_for;undermine;;respected++
negotiate_with;deal_with, settle_with, debate_with, debate, propose_to, interact_with, compete_with;argue_with;;
observe;study, monitor, watch_over, spy_on, look_after;ignore, tune_out;;
overwork;enslave, exploit, abuse, take_advantage_of;;;disrespected++
seek_advice_from;confer_with, consult_with, are_advised_by, are_mentored_by, consult, are_counselled_by;tune_out;inspired+;respected++
are_divorced_by;are_dumped_by, are_cut_off_by, are_abandoned_by, are_ejected_by, are_rejected_by, are_spurned_by, are_banished_by;commit_to;disappointed++;repelled++
are_enslaved_by;are_imprisoned_by, are_overworked_by, are_pushed_too_far_by, are_underappreciated_by, are_abused_by, are_used_by, are_exploited_by, sweat_for, are_bought_off_by, are_incarcerated_by, labor_for, are_signed_by;are_freed_by, are_released_by;disrespected+++;
are_interviewed_by;are_questioned_by, are_interrogated_by, answer_questions_from;are_silenced_by, are_ignored_by;respected+;inspired+
are_molded_by;learn_from, are_influenced_by, are_guided_by, are_drilled_by, are_coached_by, are_radicalized_by, are_brainwashed_by, are_mentored_by, are_taught_by, are_counseled_by, are_led_by, are_educated_by, are_raised_by;;inspired++;respected++
are_unimpressed_with;condescend_to, are_unimpressed_by, are_disappointed_by, harden_toward, are_failed_by, are_frustrated_by, resent, are_bored_by, are_bored_with;are_impressed_by, are_impressed_with;inspired--, disappointed++;disrespected++
cheat_on;deceive, lie_to, cheat, trick, defraud, fool;show_loyalty_to;;disrespected+, disappointed++
coach;train, instruct, teach, educate, supervise, discipline, guide, influence;lead_astray;respected++;inspired+
confer_with;speak_to, talk_to, seek_advice_from, are_advised_by, are_mentored_by, consult, are_counselled_by, communicate_with;ignore, tune_out;respected+;respected+
die_for;believe_in, worship, are_radicalized_by, are_brainwashed_by, show_loyalty_to, serve, fight_for;betray, snitch_on;inspired+++;supported++
divorce;break_with, cast_out, let_go_of, break_up_with, dump, are_bored_with, are_bored_by, eject, break_free_of, dismiss, excommunicate;commit_to;repelled++;disappointed++
elude;are_chased_by, are_pursued_by, escape_from, are_hunted_by, flee_from, hide_from, ignore, avoid, are_wanted_by;look_for;repelled++;attracted+
enslave;take_advantage_of, coerce, control, fail_to_reward, command, imprison, overwork, enchant, oppress;release, free;;disrespected+++
feel_sorry_for;pity, are_moved_by, sympathize_with;resent, laugh_at;;respected--, supported+
grow_suspicious_of;harden_toward, lose_faith_in, distrust, are_disillusioned_by;believe_in, trust;inspired-;disrespected++
heckle;insult, laugh_at, mock, taunt, abuse, disrespect, punish, offend, curse, embarrass, pick_on, bully, harass;compliment, flatter;inspired--;disrespected++
kill_for;fight_for, are_radicalized_by, are_brainwashed_by, sacrifice_to;negotiate_for;inspired+++;supported++
mock;laugh_at, heckle, abuse, hurt, insult, criticize, taunt, condescend_to, humiliate, disrespect, offend, embarrass, satirize;compliment, flatter;inspired-;attacked+, disrespected++
sacrifice_to;worship, kill_for, pray_to;denounce, condemn;inspired+++;respected+++
summon;let_in, welcome, dispatch;dismiss;respected++;inspired+
take_aim_at;target, abuse, chase_after;ignore;inspired-, attracted+;attacked+
track_down;hunt, chase_after, pursue, search_for, lay_a_trap_for, catch, capture, haunt, seek, apprehend, find, look_for, chase;avoid;attracted+;attacked+
welcome;let_in, accommodate, listen_to, summon, receive, are_visited_by;eject, evict;respected+;respected+
work_with;assist, help, are_helped_by, collude_with, conspire_with, take_up_with, perform_with, abet, compose_with, supply_to, train_with;compete_against, compete_with;respected+;respected+
abandon;cast_off, cast_out, break_with, dump, fire, eject, run_away_from, hide_from, break_free_of, break_up_with, leave_behind, renounce;save, rescue, commit_to;repelled++;disappointed++,  supported---
are_abducted_by;are_kidnapped_by, are_captured_by, are_snatched_by, are_imprisoned_by;are_ignored_by, are_overlooked_by;attacked++;attracted++
are_appointed_by;are_hired_by, are_promoted_by, are_elected_by, are_enlisted_by, are_recruited_by, are_deployed_by, are_ennobled_by, report_to, are_retained_by;are_dismissed_by, are_fired_by;respected+;respected++
are_censured_by;are_defrocked_by, are_scolded_by, are_chastised_by, are_silenced_by, are_hindered_by, are_criticized_by, are_disqualified_by, are_dismissed_by, are_suppressed_by, are_oppressed_by;are_encouraged_by;disrespected+, attacked+;inspired--, disappointed++
are_challenged_by;are_resisted_by, are_heckled_by, struggle_against, are_contradicted_by, are_taunted_by, struggle_with, are_undermined_by, are_fought_by, are_frustrated_by, are_targeted_by;are_supported_by, are_facilitated_by;attacked+, respected+;
are_criticized_by;are_attacked_by, are_offended_by, are_booed_by, are_mocked_by, are_taunted_by, fail_to_impress, are_sued_by, are_denounced_by, are_insulted_by, are_chastised_by, are_heckled_by, are_censured_by, are_scolded_by, are_punished_by, are_rebuked_by, are_accused_by, are_prosecuted_by;are_encouraged_by, are_motivated_by;attacked+, respected-;inspired--
are_found_by;are_uncovered_by, are_captured_by, are_detained_by, are_caught_by, are_discovered_by;elude, are_ignored_by;;
are_imitated_by;are_copied_by, are_impersonated_by, inspire, are_mistaken_for;are_mocked_by;disappointed+, respected+;inspired+
are_mistaken_for;are_imitated_by, are_impersonated_by, imitate, mimic, copy, resemble, impersonate;tower_over;;
are_scolded_by;are_chastised_by, are_insulted_by, are_criticized_by, are_heckled_by, are_disqualified_by, are_censured_by, are_punished_by, are_rebuked_by, are_whipped_by;are_thanked_by, are_complimented_by;disrespected+, attacked+;inspired--, disappointed++
are_silenced_by;are_humiliated_by, are_ignored_by, are_defrocked_by, are_dismissed_by, are_censured_by, are_excommunicated_by, are_disqualified_by, are_suppressed_by, are_oppressed_by;are_interviewed_by;respected--;inspired-
are_snatched_by;are_abducted_by, are_captured_by, are_kidnapped_by, are_imprisoned_by, are_detained_by;are_overlooked_by;attacked++;attracted++
are_supplanted_by;are_ruined_by, are_deposed_by, are_usurped_by, are_disqualified_by, are_beaten_by, are_toppled_by, are_overthrown_by, are_upstaged_by, cede_power_to, are_betrayed_by, are_undermined_by;overshadow;disrespected++, attacked+, supported--;inspired-
are_uncovered_by;are_discovered_by, are_found_by, are_captured_by;are_ignored_by, are_overlooked_by;;
commit_to;bow_down_to, believe_in, show_loyalty_to, fight_for, marry, propose_to, woo;compete_against, brief_against, fight_against;inspired++;respected++
condemn;denounce, renounce, curse, brief_against, testify_against, campaign_against;support, testify_for;inspired--, disappointed++;attacked+, supported--
conspire_with;abet, collude_with, work_with, perform_with, take_up_with, cheat_with, fight_with, compose_with, worship_with;compete_against, compete_with;respected+;respected+
date;woo, chase_after, consort_with;avoid;attracted+;attracted+
destroy;attack, assault, devour, blow_up, assassinate, execute, kill, murder, defeat, overcome, beat_up;nurture, support;;attacked+++
dismiss;fire, cast_out, cast_off, eject, reject, dump, divorce, evict, release, excommunicate;appoint, hire, summon;disappointed++;disrespected++
disobey;stand_up_to, rebel_against, struggle_against, resist, rise_against, ignore, tune_out;obey;inspired--;disrespected++, supported-
enchant;seduce, entice, charm, brainwash, persuade, enslave, mystify, pick_up;disgust;;inspired++, attracted+
entertain;play_for, share_stories_with, perform_for, rouse;disgust;;attracted+, inspired+
favor;promote, reward, champion, praise, compliment, nominate, encourage;overwork;respected++;respected++, supported+
interrogate;question, torture, interview, cross_examine, debrief;silence;;attacked+, disrespected++
overthrow;cast_out, supplant, topple, upstage, betray, defeat;cede_power_to, bow_down_to;inspired---;attacked++, disrespected+++, supported---
pray_to;worship, sacrifice_to, bow_down_to;brief_against, curse;inspired+++;respected+++
pursue;chase, seek, hunt, track_down, chase_after, are_eluded_by, search_for;avoid, ignore, lose_interest_in;attracted++;repelled+
rule_over;rule, control, lead, manage, command, supervise, deploy, tower_over, abuse, subjugate, dominate, oppress, govern, repress;are_disobeyed_by, lose_control_over;respected++;inspired-
sacrifice;take_advantage_of, abuse, profit_from, exploit, manipulate, kill, let_go_of;die_for;respected++;respected-, attacked++
save;rescue, protect, defend, free, heal;destroy, sacrifice;respected++;supported++
starve;ignore, suppress, repress, abuse, harass, bully;nurture, cater_to, pander_to;repelled+;attacked+, disrespected++
testify_for;support, vote_for, campaign_for, propagandize_for, believe_in, advocate_for, shill_for;testify_against;inspired++;respected++, supported++
tune_out;ignore, lose_interest_in, are_bored_by, are_bored_with, silence, disobey, avoid;listen_to;inspired--;respected--
admire;are_intrigued_by, respect, look_up_to, worship, imitate, copy, believe_in, trust;resent, are_disgusted_by, hate;inspired+;respected++
advise;instruct, guide, inspire, supervise, care_for, teach, educate, consult_with, watch_over, mentor, counsel, manage, influence;deceive, lead_astray;respected++;inspired+
are_begged_by;tower_over, listen_to, are_moved_by;are_pitied_by;respected++;respected-
are_coached_by;are_molded_by, are_drilled_by, are_lectured_by, are_taught_by, play_for, are_instructed_by, study_under, are_advised_by, learn_from, are_supervised_by, are_trained_by, are_tutored_by, are_educated_by;are_corrupted_by;inspired+;respected++
are_cut_off_by;are_abandoned_by, are_expelled_by, are_rejected_by, are_spurned_by, are_banished_by, are_dumped_by, are_divorced_by, are_fired_by, are_ejected_by, are_excommunicated_by, are_disqualified_by;are_promoted_by, are_appreciated_by, are_rewarded_by;supported--;disappointed++
are_deposed_by;are_overthrown_by, are_toppled_by, are_usurped_by, cede_power_to, are_supplanted_by, lose_to, are_beaten_by, are_betrayed_by;destroy, defeat;attacked++, disrespected+++, supported---;inspired---
are_disobeyed_by;are_hindered_by, lose_control_over, are_frustrated_by, are_failed_by, are_ignored_by;are_obeyed_by;disrespected++, supported-;inspired--
are_ejected_by;are_evicted_by, are_exorcized_by, are_banished_by, are_expelled_by, are_dismissed_by, are_cut_off_by, are_fired_by, are_divorced_by;are_welcomed_by;respected--;repelled+++
are_escorted_by;are_accompanied_by, travel_with;are_dumped_by;supported+;attracted+
are_evaluated_by;are_examined_by, are_diagnosed_by, are_questioned_by, are_interrogated_by, are_graded_by, are_reviewed_by;are_underestimated_by;;respected+
are_handled_by;are_managed_by, are_supervised_by, are_guided_by, are_commanded_by, are_monitored_by;are_dumped_by;;respected+
are_hired_by;are_appointed_by, work_for, are_retained_by, sign_with, labor_for, sweat_for, are_bought_off_by, are_recruited_by, are_enlisted_by, are_signed_by;are_fired_by;respected+;supported+, respected++
are_imprisoned_by;are_enslaved_by, are_captured_by, are_incarcerated_by, are_detained_by, are_abducted_by, are_snatched_by, are_kidnapped_by;are_freed_by, are_released_by;attacked+, supported--;disrespected++
are_investigated_by;are_probed_by, are_questioned_by, are_interrogated_by, are_stalked_by, are_distrusted_by;are_trusted_by;attacked+;inspired--, disappointed++
are_mistreated_by;are_offended_by, are_harassed_by, are_exploited_by, are_used_by, are_abused_by;are_rewarded_by, are_appreciated_by, are_treated_by;attacked+, disrespected++;inspired-
are_recruited_by;work_for, are_selected_by, are_trained_by, are_enlisted_by, are_hired_by, are_bought_off_by, are_appointed_by, follow, sign_with, are_converted_by, are_retained_by, are_signed_by;are_insulted_by, are_dismissed_by;respected+;supported+, respected++
are_released_by;are_freed_by, escape_from, are_rescued_by, are_saved_by;are_enslaved_by, are_detained_by;attacked-, supported+;
are_saved_by;are_rescued_by, are_freed_by, are_released_by, are_healed_by;are_ruined_by;supported++;respected++
are_shielded_by;are_protected_by, are_defended_by, are_guarded_by, are_insured_by, are_guaranteed_by;are_attacked_by, are_undermined_by;supported++, attacked-;
are_sought_by;are_enticed_by, are_pursued_by, are_stalked_by, are_tracked_by, are_chased_by, are_wanted_by;are_ignored_by;;attracted+
are_welcomed_by;are_received_by, are_accommodated_by, are_greeted_by, are_introduced_by;are_ejected_by;respected+;respected+
campaign_for;fight_for, vote_for, testify_for, propagandize_for, believe_in, support, advocate_for, champion, elect, popularize, shill_for;campaign_against;inspired++;supported++
catch;capture, lay_a_trap_for, track_down, apprehend, arrest, find;avoid;attracted+;attacked+, supported--
compete_against;campaign_against, run_against, turn_against, fight_against, struggle_with, struggle_against, resist, stand_up_to, debate_with, play_against, fight, challenge, deal_with;work_with;respected+;attacked+, respected+
compete_with;play_with, fight_with, struggle_with, perform_with, negotiate_with, sing_with;work_with, support;respected+;respected+
complain_to;confide_in, report_to, snitch_to, inform, talk_to, tip_off, respond_to;compliment, flatter;disappointed++;
control;manage, command, rule, lead, rule_over, enslave, coerce, are_served_by, take_advantage_of, supervise, manipulate, deploy, are_obeyed_by, blackmail, dominate, oppress, protect, brainwash;lose_control_over;respected++;inspired--
diagnose;evaluate, rank, cross_examine, study, treat, examine;ignore, tune_out;respected+;
enlist;appoint, recruit, sign_up, brainwash, attract, hire, are_followed_by, convert, ordain;avoid;respected++;respected+
fail_to_reward;refuse_to_pay, exploit, withhold_payment_from, take_advantage_of, enslave;reward;inspired-;disappointed++
follow;are_recruited_by, obey, are_instructed_by, are_moved_by, are_guided_by, are_intrigued_by, are_inspired_by, are_led_by, fight_for, believe_in, are_commanded_by, worship, haunt, sign_with, hunt;hide_from, avoid;inspired+;respected++
let_go_of;dump, break_with, break_up_with, sacrifice, evict, cast_out, cast_off, divorce, alienate, release;imprison, enslave, stalk;attracted+, disappointed+;repelled+
lie_for;negotiate_for, act_for, speak_for, protect, propagandize_for, shill_for;lie_to, snitch_on;inspired+;respected++
lose_favor_with;are_rejected_by, are_spurned_by, are_rebuffed_by, fail_to_impress, fail_to_deliver_for, disillusion, disappoint, are_judged_by;are_favored_by, are_promoted_by;disrespected++;disappointed++
mimic;impersonate, copy, imitate, are_mistaken_for;satirize;inspired+;respected+, disappointed+
rescue;save, free, release, protect, defend, heal;destroy;respected++;supported++
respect;trust, admire, look_up_to, believe_in, worship;disrespect, resent, underestimate, condescend_to;inspired+;respected++
rule;control, manage, lead, command, rule_over, dominate, supervise, guide, subjugate, oppress, govern;lose_control_over;respected++;inspired+
search_for;seek, pursue, look_for, chase, chase_after, track_down;lose_interest_in;attracted+;
sign_up;recruit, hire, enlist, appoint, commission, convert, ordain;reject;respected+;respected+
talk_to;speak_to, confer_with, communicate_with, communicate_via, share_stories_with, complain_to;silence, ignore;respected+;respected+
taunt;mock, heckle, insult, criticize, challenge, laugh_at, condescend_to, humiliate, disrespect, prey_on, offend, persecute, bully;encourage;inspired-;disrespected++, attacked+
torture;torment, persecute, harass, abuse, hurt, interrogate, pick_on, prey_on;nurture;disrespected+;disrespected++, attacked++
travel_with;accompany, transport, are_escorted_by, are_accompanied_by, consort_with;avoid;respected+;respected+
trick;fool, deceive, cheat, manipulate, coerce, lie_to, misrepresent, defraud, cheat_on;show_loyalty_to, snitch_to;respected+;disappointed++, inspired--, disrespected++
vote_for;support, elect, campaign_for, select, nominate, pick, testify_for, believe_in;vote_against;inspired+;respected++
watch_over;protect, defend, monitor, advise, care_for, pray_for, spy_on, look_after, are_concerned_about, observe, guard, manage, stalk;ignore, tune_out;attracted+;respected+
are_advised_by;confer_with, are_guided_by, seek_advice_from, are_counselled_by, are_counseled_by, consult_with, are_coached_by, are_served_by, consult;are_corrupted_by;inspired+;respected++
are_booed_by;are_heckled_by, are_taunted_by, are_criticized_by, are_mocked_by, are_insulted_by, fail_to_impress, fail_to_deliver_for, are_chastised_by;are_encouraged_by, are_motivated_by;disrespected++;inspired--
are_captured_by;are_incarcerated_by, are_imprisoned_by, are_detained_by, are_snatched_by, are_found_by, are_lured_by, are_abducted_by, are_uncovered_by, are_caught_by, are_discovered_by;are_ignored_by, are_overlooked_by;attacked+;attracted+
are_charmed_by;are_seduced_by, are_indoctrinated_by, are_enticed_by, are_persuaded_by, are_attracted_by, are_lured_by, are_flattered_by, are_enchanted_by, are_wooed_by, are_converted_by;are_disgusted_by;attracted++, inspired+;respected+
are_chosen_by;are_elected_by, are_selected_by, are_picked_by, are_nominated_by, are_favored_by;are_rejected_by;respected+;attracted+
are_detained_by;are_incarcerated_by, are_imprisoned_by, are_captured_by, are_snatched_by, are_found_by;are_freed_by, are_released_by;disrespected+, supported-;
are_excommunicated_by;are_silenced_by, are_chastised_by, are_banished_by, are_cut_off_by, are_dismissed_by, are_evicted_by, are_expelled_by, are_fired_by, are_defrocked_by, are_suppressed_by, are_disqualified_by, are_exorcized_by, are_rejected_by;are_ordained_by;disrespected++;repelled++
are_expelled_by;are_silenced_by, are_chastised_by, are_banished_by, are_cut_off_by, are_dismissed_by, are_evicted_by, are_excommunicated_by, are_fired_by, are_defrocked_by, are_disqualified_by, are_dumped_by, are_abandoned_by, are_ejected_by, are_exorcized_by, are_rejected_by;are_welcomed_by;respected--;repelled++, disappointed+++
are_freed_by;are_released_by, are_saved_by, are_rescued_by;are_enslaved_by, are_detained_by, are_imprisoned_by;attacked-, supported+;
are_funded_by;borrow_from, are_financed_by, are_paid_by, become_dependent_upon, are_bought_off_by, are_supported_by, are_facilitated_by, inherit_from;are_undermined_by;supported++, respected+;respected++
are_intimidated_by;are_taunted_by, are_threatened_by, are_bullied_by, are_overshadowed_by;laugh_at;repelled+;respected+
are_kissed_by;love, attract, flirt_with, sleep_with, are_deflowered_by, are_loved_by;are_disfigured_by, are_cursed_by;respected+;attracted+
are_photographed_by;model_for, pose_for, attract, are_painted_by;are_overlooked_by;respected+;attracted+
are_protected_by;are_shielded_by, are_defended_by, are_guarded_by, are_served_by, are_insured_by, are_guaranteed_by;are_ruined_by, are_threatened_by;supported++;
are_punished_by;are_beaten_by, are_humiliated_by, are_whipped_by, are_scolded_by, are_chastised_by, are_criticized_by, are_tortured_by, are_hurt_by, are_tormented_by;are_rewarded_by, are_appreciated_by;respected--, attacked++;disappointed++
attract;are_followed_by, entice, charm, inspire, impress, are_wanted_by, are_photographed_by, are_favored_by;disgust, alienate,;respected+;attracted++
break_up_with;dump, break_with, let_go_of, break_free_of, cast_off, divorce, abandon, escape_from, flee_from, cast_out, renounce;marry, propose_to;repelled+;disappointed++
brief_against;campaign_against, run_against, testify_against, fight_against, struggle_with, struggle_against, resist, stand_up_to, spread_lies_about, undermine, condemn, snitch_on, vote_against, accuse;testify_for, campaign_for;repelled+;supported--, attacked+
capture;catch, arrest, imprison, track_down, incarcerate, detain, abduct, lay_a_trap_for, kidnap, take_as_prisoner, apprehend, find, snatch;free, release;attracted+;attacked+
counsel;advise, guide, consult_with, confer_with, mentor;lead_astray;respected++;respected+
cry_for;pine_for, sympathize_with, mourn_for, remember;abandon;attracted+;
defeat;overcome, supplant, dominate, topple, upstage, overthrow, subjugate, tower_over, destroy, conquer;lose_to, surrender_to;;attacked+++
dominate;defeat, supplant, topple, subjugate, rule, rule_over, tower_over, suppress, repress, control, oppress, coerce, manage, brainwash, conquer;lose_control_over;respected++;respected-
drink_with;share_stories_with, consort_with, chat_with;avoid;respected+;respected+
evict;let_go_of, cast_out, cast_off, dismiss, fire, excommunicate, disqualify, rebuff, reject, exorcise;welcome;repelled++, disappointed+++;respected--
guard;protect, monitor, watch_over, look_after, care_for, spy_on;abandon, sacrifice;;supported++
ignore;tune_out, avoid, elude, are_bored_with, are_bored_by, lose_interest_in, disobey, starve;stalk;attracted-;respected-
imprison;take_as_prisoner, incarcerate, detain, enslave, abduct, capture, kidnap, suppress, apprehend, snatch;free, release;disrespected++;attacked+, supported--
look_after;manage, protect, care_for, handle, breastfeed, tend, supervise, watch_over, nurture, guard, attend, cater_to, defend, monitor, attend_to, minister_to, pray_for, provide_for, observe, raise;lose_interest_in;respected++;respected+
lose_to;are_defeated_by, are_beaten_by, are_ruined_by, cede_power_to, are_conquered_by, bow_down_to, surrender_to, are_deposed_by, are_subdued_by;defeat;respected--;respected++, inspired--
love;fall_in_love_with, are_attracted_by, worship, care_for, show_loyalty_to, marry, are_kissed_by, woo, nurture;hate, dislike;attracted++;supported+
oppress;suppress, repress, rule, rule_over, dominate, control, enslave, subjugate, censure, conquer, coerce, subdue;are_popularized_by, are_marketed_by;;attacked+, inspired--
play_for;entertain, perform_for, rouse, are_coached_by;play_against;respected+;respected++
play_with;compete_with, sing_with, perform_with, fight_with;play_against;respected+;respected+
pray_with;worship_with;curse, denounce, break_with;respected+;respected+
prey_on;pick_on, persecute, torment, abuse, bully, taunt, lay_a_trap_for, profit_from, exploit, devour, hunt, chase, chase_after, harass, stalk;support, respect;attracted+;attacked+, repelled+
read_the_works_of;are_inspired_by, are_indoctrinated_by, study_under, read_about, are_intrigued_by;ignore, tune_out;inspired+;respected++
rebel_against;turn_against, stand_up_to, resist, rise_against, disobey, betray, struggle_against;support, bow_down_to, vote_for, campaign_for;inspired--;respected--
report_to;serve, answer_to, are_appointed_by, are_deployed_by, snitch_to, inform, take_messages_for, write_to, are_ruled_by, complain_to, speak_to, act_for, answer, answer_questions_from, are_summoned_by, respond_to, testify_before, work_under, govern_for;hide_from, snitch_on;;respected++
resist;stand_up_to, rebel_against, struggle_against, rise_against, turn_against, disobey, fight_against, compete_against, brief_against, challenge;support, work_with, agree_with;inspired-;attacked+, supported--
reward;encourage, favor, tip, please, pay;punish, chastise, withhold_payment_from;respected++;respected+, supported+
seduce;enchant, lay_a_trap_for, entice, persuade, attract, woo, corrupt, pick_up, buy_off;disgust;attracted+;attracted++, inspired+
share_stories_with;identify_with, confess_to, confide_in, listen_to, entertain, talk_to, drink_with, speak_to, chat_with, live_with, speak_with;lie_to;respected+;respected+
sing_with;perform_with, play_with, compete_with, compose_with;break_with;respected+;respected+
struggle_against;resent, despise, overcome, fight, resist, rise_against, rebel_against, stand_up_to, are_resisted_by, fight_against, are_challenged_by, disobey, compete_against, brief_against, struggle_with, run_against, are_fought_by, challenge, play_against;campaign_for, elect, vote_for, appease;repelled++, inspired--;repelled+
study;believe_in, observe, examine, evaluate, rank, diagnose, experiment_on, review, read_about;lose_interest_in;inspired+;respected++
teach;instruct, advise, educate, examine, train, supervise, guide, lecture_to, lead, coach, minister_to, mentor;lead_astray, deceive;respected++;inspired+
tend;manage, raise, care_for, look_after, nurture, serve, pander_to, cater_to, minister_to, wait_on, attend, cure, attend_to, breastfeed, cook_for, indulge, provide_for, work_under;lose_interest_in, take_advantage_of, exploit;respected+;supported+
visit;speak_with, consult, consult_with;avoid, run_away_from;inspired+;respected+
withhold_payment_from;refuse_to_pay, fail_to_reward;repay, reward, pay_off;disappointed++;disrespected+, supported-
appease;pay_off, buy_off, bribe;resist, stand_up_to;respected-;respected++
are_assisted_by;are_supported_by, are_served_by, are_facilitated_by, are_helped_by, are_encouraged_by;are_hindered_by, are_undermined_by, are_frustrated_by;supported+;
are_caught_by;are_lured_by, are_captured_by, are_found_by;elude, avoid;attacked+, supported--;attracted+
are_conquered_by;are_overwhelmed_by, are_beaten_by, are_defeated_by, lose_to, surrender_to, cede_power_to, are_subdued_by, are_ruined_by, are_dominated_by, are_overrun_by, are_subjugated_by, are_overthrown_by;defeat, resist, overcome;attacked+++;respected+
are_contradicted_by;argue_with, disagree_with, are_challenged_by, are_taunted_by, are_resisted_by, debate, struggle_with, are_undermined_by, debate_with, are_debated_by, are_frustrated_by;agree_with, settle_with;disrespected++, attacked+;
are_defrocked_by;are_dismissed_by, are_silenced_by, are_censured_by, are_expelled_by, are_excommunicated_by, are_evicted_by, are_exorcised_by;are_promoted_by, are_appreciated_by, are_rewarded_by;disrespected++;disappointed++
are_dispatched_by;are_deployed_by, are_summoned_by, are_fielded_by;are_recalled_by, are_summoned_by;;respected+
are_disqualified_by;are_silenced_by, are_censured_by, are_evicted_by, are_expelled_by, are_dismissed_by, are_cut_off_by, are_dumped_by, are_scolded_by, are_supplanted_by, are_excommunicated_by, are_rejected_by;are_selected_by, are_chosen_by, are_nominated_by;disrespected++;disappointed++
are_enchanted_by;are_enticed_by, are_seduced_by, are_lured_by, are_attracted_by, are_charmed_by, are_mystified_by, are_intrigued_by;are_disgusted_by;attracted++;
are_enticed_by;are_enchanted_by, are_seduced_by, are_lured_by, are_attracted_by, fall_in_love_with, sleep_with, are_flattered_by, are_sought_by, are_charmed_by, are_persuaded_by;are_disgusted_by;attracted++, inspired+;
are_followed_by;attract, are_accompanied_by, are_admired_by, are_worshipped_by, are_supported_by, command, inspire, guide, enlist, recruit, are_venerated_by;are_ignored_by, are_overlooked_by;respected++;attracted+, inspired+
are_healed_by;are_treated_by, are_saved_by, are_rescued_by;are_hurt_by;supported+;
are_helped_by;are_facilitated_by, are_assisted_by, are_supported_by, work_with;are_hindered_by;supported+, respected+;
