action	A (***strong, **medium, *weak)	B (***strong, **medium, *weak)
are_disappointed_by	**animations/Stand/BodyTalk/Speaking/BodyTalk_18, ***animations/Stand/Reactions/TouchHead_1, **animations/Stand/Emotions/Negative/Bored_1, *animations/Stand/Emotions/Negative/Sad_2, **animations/Stand/Emotions/Negative/Disappointed_1, **animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1, ***sound:animations/Stand/Emotions/Negative/Frustrated_1, *animations/Stand/Emotions/Neutral/Annoyed_1, ***animations/Stand/Emotions/Neutral/Lonely_1, *animations/Stand/Gestures/Enthusiastic_3, ***animations/Stand/Gestures/Angry_3, **animations/Stand/Gestures/Desperate_2, **animations/Stand/Gestures/Desperate_4, **animations/Stand/Gestures/WhatSThis_7, **animations/Stand/Gestures/WhatSThis_9, **animations/Stand/Gestures/WhatSThis_1, *animations/Stand/Gestures/WhatSThis_8, *animations/Stand/Gestures/No_8, *animations/Stand/Gestures/WhatSThis_10, ***animations/Stand/Gestures/No_6, **animations/Stand/Gestures/IDontKnow_4, ***animations/Stand/Gestures/Desperate_5, ***animations/Stand/Gestures/Desperate_1, ***animations/Stand/Gestures/Desperate_3	
disappoint		**animations/Stand/BodyTalk/Speaking/BodyTalk_18, ***animations/Stand/Reactions/TouchHead_1, **animations/Stand/Emotions/Negative/Bored_1, *animations/Stand/Emotions/Negative/Sad_2, **animations/Stand/Emotions/Negative/Disappointed_1, **animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1, ***sound:animations/Stand/Emotions/Negative/Frustrated_1, *animations/Stand/Emotions/Neutral/Annoyed_1, ***animations/Stand/Emotions/Neutral/Lonely_1, *animations/Stand/Gestures/Enthusiastic_3, ***animations/Stand/Gestures/Angry_3, **animations/Stand/Gestures/Desperate_2, **animations/Stand/Gestures/Desperate_4, **animations/Stand/Gestures/WhatSThis_7, **animations/Stand/Gestures/WhatSThis_9, **animations/Stand/Gestures/WhatSThis_1, *animations/Stand/Gestures/No_8, ***animations/Stand/Gestures/No_6, **animations/Stand/Gestures/IDontKnow_4, ***animations/Stand/Gestures/Desperate_5, ***animations/Stand/Gestures/Desperate_1, ***animations/Stand/Gestures/Desperate_3
lose_faith_in	**animations/Stand/BodyTalk/Speaking/BodyTalk_18, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1, *animations/Stand/Gestures/Enthusiastic_3, **animations/Stand/Gestures/Desperate_2, **animations/Stand/Gestures/Desperate_4, *animations/Stand/Gestures/No_8, ***animations/Stand/Gestures/No_6, ***animations/Stand/Gestures/Desperate_5, ***animations/Stand/Gestures/Desperate_1, ***animations/Stand/Gestures/Desperate_3	
are_pushed_too_far_by	**animations/Stand/BodyTalk/Speaking/BodyTalk_18, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1, **animations/Stand/Gestures/Everything_1	
lay_a_trap_for	**animations/Stand/BodyTalk/Speaking/BodyTalk_18, ***animations/Stand/Emotions/Neutral/Mischievous_1, *animations/Stand/Gestures/JointHands_3	
operate_on	*animations/Stand/BodyTalk/Speaking/BodyTalk_9, **animations/Stand/Waiting/ScratchLeg_1, **animations/Stand/Gestures/Please_3, *animations/Stand/Gestures/No_5, *animations/Stand/Gestures/WhatSThis_3	
propose_to	***iconic_actions-4373e0/propose,*animations/Stand/BodyTalk/Speaking/BodyTalk_9, *sound:animations/Stand/Emotions/Positive/Interested_2, **animations/Stand/Waiting/LoveYou_1, **animations/Stand/Gestures/ShowSky_12, *animations/Stand/Gestures/ShowSky_3, *animations/Stand/Gestures/This_1, *animations/Stand/Gestures/WhatSThis_11, *animations/Stand/Gestures/This_14, *animations/Stand/Gestures/Choice_2	
marry	***iconic_actions-4373e0/propose,*animations/Stand/BodyTalk/Speaking/BodyTalk_9, *sound:animations/Stand/Emotions/Positive/Interested_2, **animations/Stand/Waiting/LoveYou_1, **animations/Stand/Gestures/ShowSky_12, *animations/Stand/Gestures/ShowSky_3, *animations/Stand/Gestures/This_1, *animations/Stand/Gestures/WhatSThis_11, *animations/Stand/Gestures/This_14, *animations/Stand/Gestures/Choice_2	
consort_with	*animations/Stand/BodyTalk/Speaking/BodyTalk_10, **animations/Stand/BodyTalk/Speaking/BodyTalk_1	
are_snatched_by	**animations/Stand/Gestures/Coaxing_1	***animations/Stand/BodyTalk/Speaking/BodyTalk_15, **sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/Me_1, ***animations/Stand/Gestures/CatchFly_2, ***animations/Stand/Gestures/CatchFly_1, *animations/Stand/Gestures/Enthusiastic_4, **animations/Stand/Gestures/Great_1
