action	A (***strong, **medium, *weak)	B (***strong, **medium, *weak)
trust	**animations/Stand/Emotions/Positive/Optimistic_1, *animations/Stand/Gestures/Me_7, **animations/Stand/Gestures/Me_2, *animations/Stand/Gestures/Me_6	
are_trusted_by		**animations/Stand/Emotions/Positive/Optimistic_1, *animations/Stand/Gestures/Me_7, **animations/Stand/Gestures/Me_2, *animations/Stand/Gestures/Me_6
believe_in	**animations/Stand/Emotions/Positive/Optimistic_1, *animations/Stand/Gestures/Me_7	
confide_in	**animations/Stand/Emotions/Positive/Optimistic_1, *animations/Stand/Gestures/Me_7	
rely_on	**animations/Stand/Emotions/Positive/Optimistic_1, *animations/Stand/Gestures/Me_7	
are_moved_by	**animations/Stand/Emotions/Positive/Optimistic_1	
feel_sorry_for	**animations/Stand/Emotions/Positive/Optimistic_1, *animations/Stand/Gestures/WhatSThis_1	
are_humiliated_by	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1, ***animations/Stand/Emotions/Negative/Bored_1, ***animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1	**sound:animations/Stand/Emotions/Positive/Laugh_1, *sound:animations/Stand/Emotions/Positive/Laugh_3
champion	***sound:animations/Stand/Emotions/Positive/Winner_2, ***sound:animations/Stand/Emotions/Positive/Winner_1	
are_championed_by	***sound:animations/Stand/Emotions/Positive/Winner_1, ***animations/Stand/Waiting/ShowMuscles_3	***sound:animations/Stand/Emotions/Positive/Winner_2
are_elected_by	**sound:animations/Stand/Emotions/Positive/Winner_2	
elect		**sound:animations/Stand/Emotions/Positive/Winner_2
are_summoned_by	***animations/Stand/Emotions/Positive/Proud_3	
summon		***animations/Stand/Emotions/Positive/Proud_3
ignore	*animations/Stand/Emotions/Positive/Proud_3, **animations/Stand/Gestures/Enthusiastic_3, **animations/Stand/Gestures/Thinking_3, **animations/Stand/Gestures/Hide_1	
are_ignored_by		*animations/Stand/Emotions/Positive/Proud_3, **animations/Stand/Gestures/Enthusiastic_3, **animations/Stand/Gestures/Thinking_3, **animations/Stand/Gestures/Hide_1
tune_out	*animations/Stand/Emotions/Positive/Proud_3, **animations/Stand/Gestures/Hide_1	
attend_to	***sound:animations/Stand/Emotions/Positive/Interested_2	
are_attended_by		***sound:animations/Stand/Emotions/Positive/Interested_2
attend	***sound:animations/Stand/Emotions/Positive/Interested_2	
serve	***sound:animations/Stand/Emotions/Positive/Interested_2	
are_served_by		***sound:animations/Stand/Emotions/Positive/Interested_2
minister_to	**sound:animations/Stand/Emotions/Positive/Interested_2	
abduct	**sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/Coaxing_1	
are_abducted_by		**sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/Coaxing_1
assault	***iconic_actions-4373e0/attack	
are_assaulted_by		***iconic_actions-4373e0/attack
attack	***iconic_actions-4373e0/attack	
are_attacked_by		***iconic_actions-4373e0/attack
kidnap	**sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/Coaxing_1	
are_kidnapped_by		**sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/Coaxing_1
campaign_for	**sound:animations/Stand/Emotions/Positive/Happy_3, ***sound:animations/Stand/Emotions/Positive/Winner_1, *animations/Stand/Gestures/Far_1, **animations/Stand/Gestures/ShowSky_4	
propagandize_for	**sound:animations/Stand/Emotions/Positive/Happy_3, ***sound:animations/Stand/Emotions/Positive/Winner_1, **animations/Stand/Gestures/Far_1, **animations/Stand/Gestures/ShowSky_4	
welcome	***animations/Stand/Emotions/Neutral/Hello_1, ***sound:animations/Stand/Emotions/Neutral/AskForAttention_2, **animations/Stand/Waiting/Relaxation_1, **animations/Stand/Gestures/Salute_3, ***animations/Stand/Gestures/Hey_3, ***animations/Stand/Gestures/Hey_1, ***animations/Stand/Gestures/Hey_5, ***animations/Stand/Gestures/Joy_1, ***animations/Stand/Gestures/Hey_2, **animations/Stand/Gestures/CountMore_1, **animations/Stand/Gestures/Salute_1, **animations/Stand/Gestures/CountMore_2, **animations/Stand/Gestures/Salute_2, ***animations/Stand/Gestures/Hey_4	
are_welcomed_by		***animations/Stand/Emotions/Neutral/Hello_1, ***sound:animations/Stand/Emotions/Neutral/AskForAttention_2, **animations/Stand/Waiting/Relaxation_1, **animations/Stand/Gestures/Salute_3, ***animations/Stand/Gestures/Hey_3, ***animations/Stand/Gestures/Hey_1, ***animations/Stand/Gestures/Hey_5, ***animations/Stand/Gestures/Joy_1, ***animations/Stand/Gestures/Hey_2, **animations/Stand/Gestures/CountMore_1, **animations/Stand/Gestures/Salute_1, **animations/Stand/Gestures/CountMore_2, **animations/Stand/Gestures/Salute_2, ***animations/Stand/Gestures/Hey_4
are_greeted_by		***animations/Stand/Emotions/Neutral/Hello_1, ***sound:animations/Stand/Emotions/Neutral/AskForAttention_2, **animations/Stand/Waiting/Relaxation_1, **animations/Stand/Gestures/Salute_3, ***animations/Stand/Gestures/Hey_3, ***animations/Stand/Gestures/Hey_1, ***animations/Stand/Gestures/Hey_5, ***animations/Stand/Gestures/Hey_2, ***animations/Stand/Gestures/Hey_4
heckle	***sound:animations/Stand/Emotions/Neutral/AskForAttention_3, ***sound:animations/Stand/Emotions/Neutral/AskForAttention_1, ***sound:animations/Stand/Emotions/Neutral/AskForAttention_2, **sound:animations/Stand/Waiting/Taxi_1, ***animations/Stand/Gestures/Hey_7, **animations/Stand/Gestures/Wings_5	
are_heckled_by		***sound:animations/Stand/Emotions/Neutral/AskForAttention_3, ***sound:animations/Stand/Emotions/Neutral/AskForAttention_1, ***sound:animations/Stand/Emotions/Neutral/AskForAttention_2, ***animations/Stand/Gestures/Hey_7, **animations/Stand/Gestures/Wings_5
confer_with	*sound:animations/Stand/Emotions/Neutral/AskForAttention_3, *sound:animations/Stand/Emotions/Neutral/AskForAttention_1, **animations/Stand/Gestures/Explain_8, **animations/Stand/Gestures/Explain_4, *animations/Stand/Gestures/No_5, ***animations/Stand/Gestures/Choice_1, ***animations/Stand/Gestures/CountThree_1, ***animations/Stand/Gestures/CountFour_1, *animations/Stand/Gestures/Nothing_2	
alienate	*animations/Stand/Reactions/ShakeBody_3	**animations/Stand/Emotions/Neutral/Innocent_1, ***animations/Stand/Emotions/Neutral/Alienated_1
silence	***animations/Stand/BodyTalk/Speaking/BodyTalk_18, **animations/Stand/Emotions/Positive/Peaceful_1, ***animations/Stand/Gestures/Everything_4, **animations/Stand/Gestures/CalmDown_6, *animations/Stand/Gestures/Wings_4, **animations/Stand/Gestures/Hey_7, *animations/Stand/Gestures/No_1, **animations/Stand/Gestures/OnTheEvening_4, *animations/Stand/Gestures/Wings_2, *animations/Stand/Gestures/CalmDown_2, *animations/Stand/Gestures/Wings_5, **animations/Stand/Gestures/CalmDown_5, *animations/Stand/Gestures/OnTheEvening_5, **animations/Stand/Gestures/CalmDown_4, **animations/Stand/Gestures/CalmDown_1, **animations/Stand/Gestures/Everything_6, **animations/Stand/Gestures/CalmDown_3, *animations/Stand/Gestures/Nothing_1, **animations/Stand/Gestures/Nothing_2, **animations/Stand/Gestures/Everything_1, **animations/Stand/Gestures/Claw_1, *animations/Stand/Gestures/OnTheEvening_3, *animations/Stand/Gestures/Everything_2	**animations/Stand/Emotions/Neutral/Innocent_1, **animations/Stand/Emotions/Neutral/Lonely_1
listen_to	*animations/Stand/Emotions/Neutral/Innocent_1	
	**animations/Stand/Emotions/Neutral/Confused_1, *animations/Stand/Gestures/WhatSThis_6, ***animations/Stand/Gestures/Hey_3, **animations/Stand/Gestures/YouKnowWhat_1, **animations/Stand/Gestures/CalmDown_2	
are_sickened_by	**sound:animations/Stand/Emotions/Neutral/Sneeze, ***animations/Stand/Gestures/Hungry_1	
control	**animations/Stand/Emotions/Neutral/Determined_1	
are_controlled_by	**animations/Stand/Waiting/Zombie_1	**animations/Stand/Emotions/Neutral/Determined_1
command	**animations/Stand/Emotions/Neutral/Determined_1, *animations/Stand/Waiting/Bandmaster_1, ***animations/Stand/Gestures/Far_3, **animations/Stand/Gestures/You_5, **animations/Stand/Gestures/CountFour_2, **animations/Stand/Gestures/ShowSky_5, ***animations/Stand/Gestures/ShowSky_6	
are_commanded_by	**animations/Stand/Gestures/CountFour_2	**animations/Stand/Emotions/Neutral/Determined_1, *animations/Stand/Waiting/Bandmaster_1, ***animations/Stand/Gestures/Far_3, **animations/Stand/Gestures/You_5, **animations/Stand/Gestures/ShowSky_5, ***animations/Stand/Gestures/ShowSky_6
leave_behind	*animations/Stand/Emotions/Positive/Peaceful_1, *animations/Stand/Gestures/WhatSThis_4, **animations/Stand/Gestures/Reject_3	***animations/Stand/Emotions/Neutral/Lonely_1
are_manipulated_by	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2	*animations/Stand/Emotions/Neutral/Stubborn_1, ***animations/Stand/Emotions/Neutral/Mischievous_1, **animations/Stand/Gestures/JointHands_3
mystify	**animations/Stand/Emotions/Neutral/Suspicious_1, ***sound:animations/Stand/Waiting/MysticalPower_1, *animations/Stand/Gestures/Hide_1	
are_mystified_by		**animations/Stand/Emotions/Neutral/Suspicious_1, ***sound:animations/Stand/Waiting/MysticalPower_1, *animations/Stand/Gestures/Hide_1
hide_from	**animations/Stand/Emotions/Neutral/Suspicious_1, **animations/Stand/Waiting/HideEyes_1, **animations/Stand/Gestures/Surprised_1, **animations/Stand/Gestures/Please_2, **animations/Stand/Gestures/Look_2	
are_lured_by		***iconic_actions-4373e0/seduce,**animations/Stand/Emotions/Neutral/Mischievous_1, **sound:animations/Stand/Waiting/CallSomeone_1
seduce	***iconic_actions-4373e0/seduce,**animations/Stand/Emotions/Neutral/Mischievous_1	
are_seduced_by		***iconic_actions-4373e0/seduce,**animations/Stand/Emotions/Neutral/Mischievous_1
are_brainwashed_by	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2, *animations/Stand/Waiting/Zombie_1	**animations/Stand/Emotions/Neutral/Mischievous_1
are_influenced_by	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2	**animations/Stand/Emotions/Neutral/Mischievous_1
are_indoctrinated_by	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2	**animations/Stand/Emotions/Neutral/Mischievous_1, **animations/Stand/Gestures/JointHands_3
embarass		***animations/Stand/Emotions/Neutral/Embarrassed_1
overthrow	**sound:animations/Stand/Emotions/Negative/Angry_4, *animations/Stand/Gestures/This_2	*animations/Stand/Waiting/Relaxation_3
breastfeed	**animations/Stand/Waiting/ScratchTorso_1, ***animations/Stand/Gestures/Thinking_7, *animations/Stand/Gestures/Shy_1	
impersonate	**animations/Stand/Waiting/ScratchTorso_1, *animations/Stand/Gestures/Mime_1, *animations/Stand/Gestures/Mime_2, **animations/Stand/Gestures/Me_6	
are_impersonated_by		**animations/Stand/Waiting/ScratchTorso_1, *animations/Stand/Gestures/Mime_1, *animations/Stand/Gestures/Mime_2, **animations/Stand/Gestures/Me_6
enchant		**animations/Stand/Waiting/LookHand_1, **animations/Stand/Waiting/LookHand_2
are_enchanted_by	**animations/Stand/Waiting/LookHand_1, **animations/Stand/Waiting/LookHand_2	
are_healed_by	*sound:animations/Stand/Waiting/WakeUp_1, *animations/Stand/Gestures/Yum_1	
heal		*sound:animations/Stand/Waiting/WakeUp_1, *animations/Stand/Gestures/Yum_1
cure		*sound:animations/Stand/Waiting/WakeUp_1, *animations/Stand/Gestures/Yum_1
share_stories_with	***animations/Stand/Waiting/Relaxation_2, **animations/Stand/Gestures/Explain_4, *animations/Stand/Gestures/WhatSThis_2	
are_usurped_by		**animations/Stand/Waiting/Waddle_1
conspire_with	*animations/Stand/Waiting/ScratchBack_1, ***animations/Stand/Gestures/JointHands_3, **animations/Stand/Gestures/JointHands_1, *animations/Stand/Gestures/Look_2	
collude_with	*animations/Stand/Waiting/ScratchBack_1, ***animations/Stand/Gestures/JointHands_3, **animations/Stand/Gestures/JointHands_1, *animations/Stand/Gestures/Look_2	
photograph	***sound:animations/Stand/Waiting/TakePicture_1	
are_photographed_by		***sound:animations/Stand/Waiting/TakePicture_1
mimic	**animations/Stand/Waiting/FunnyDancer_1, **animations/Stand/Gestures/Mime_1, **animations/Stand/Gestures/Wings_1, **animations/Stand/Gestures/Mime_2	
are_driven_around_by		***sound:animations/Stand/Waiting/DriveCar_1
are_driven_by		***sound:animations/Stand/Waiting/DriveCar_1
drive_for	***sound:animations/Stand/Waiting/DriveCar_1	
look_up_to	***animations/Stand/Waiting/ShowSky_2, ***animations/Stand/Waiting/ShowSky_1, **animations/Stand/Gestures/ShowSky_9, **animations/Stand/Gestures/ShowSky_11, **animations/Stand/Gestures/ShowSky_1, **animations/Stand/Gestures/ShowSky_10	
are_inspired_by	***animations/Stand/Reactions/SeeColor_1, *animations/Stand/Reactions/EthernetOn_1, ***animations/Stand/Reactions/SeeColor_2, *animations/Stand/Reactions/TouchHead_4, ***animations/Stand/Emotions/Neutral/Puzzled_1, **animations/Stand/Waiting/LookHand_1, **animations/Stand/Waiting/Think_4, **animations/Stand/Waiting/LookHand_2, ***animations/Stand/Waiting/Think_3, ***animations/Stand/Waiting/Think_2	**animations/Stand/Waiting/ShowSky_2, **animations/Stand/Waiting/ShowSky_1, **animations/Stand/Gestures/ShowSky_8, **animations/Stand/Gestures/Hey_6
are_examined_byare_inspired_by		**animations/Stand/Waiting/Think_1
fight_for	**animations/Stand/Waiting/Knight_1, *animations/Stand/Gestures/CountOne_1	
train		***animations/Stand/Waiting/Fitness_2, ***animations/Stand/Waiting/ShowMuscles_2, ***animations/Stand/Waiting/Fitness_1, **animations/Stand/Waiting/Stretch_2
are_trained_by	***animations/Stand/Waiting/Fitness_2, ***animations/Stand/Waiting/ShowMuscles_2, ***animations/Stand/Waiting/Fitness_1, **animations/Stand/Waiting/Stretch_2	
train_with	***animations/Stand/Waiting/Fitness_2, ***animations/Stand/Waiting/ShowMuscles_2, ***animations/Stand/Waiting/Fitness_1, **animations/Stand/Waiting/Stretch_2, **animations/Stand/Gestures/CountTwo_1	
write_for	*animations/Stand/Waiting/ScratchHand_1, **animations/Stand/Gestures/Claw_2, ***animations/Stand/Gestures/Follow_1	
champion	***sound:animations/Stand/Emotions/Positive/Winner_2, ***sound:animations/Stand/Emotions/Positive/Winner_1	***animations/Stand/Waiting/ShowMuscles_3
are_toppled_by	*animations/Stand/Waiting/Stretch_3, **animations/Stand/Gestures/This_2	
topple	**animations/Stand/Gestures/Take_1, **animations/Stand/Gestures/This_2	*animations/Stand/Waiting/Stretch_3
are_threatened_by	**animations/Stand/Emotions/Negative/Humiliated_1, **animations/Stand/Emotions/Negative/Anxious_1, ***animations/Stand/Emotions/Positive/Shy_1, ***animations/Stand/Emotions/Positive/Shy_2, **animations/Stand/Gestures/Surprised_1, **animations/Stand/Gestures/Shy_1	**sound:animations/Stand/Waiting/Monster_1, **animations/Stand/Gestures/No_4
hunt	**animations/Stand/Reactions/SeeSomething_5, ***animations/Stand/Waiting/Binoculars_1	*sound:animations/Stand/Waiting/Helicopter_1
control	**animations/Stand/Emotions/Neutral/Determined_1	**animations/Stand/Waiting/Zombie_1
fall_in_love_with	***animations/Stand/Waiting/LoveYou_1	
love	***animations/Stand/Waiting/LoveYou_1, *animations/Stand/Gestures/Enthusiastic_4	
are_loved_by		***animations/Stand/Waiting/LoveYou_1, *animations/Stand/Gestures/Enthusiastic_4
manage	**animations/Stand/Waiting/Bandmaster_1	
are_managed_by		**animations/Stand/Waiting/Bandmaster_1
are_ruined_by	**sound:animations/Stand/Waiting/KnockEye_1	
are_corrupted_by	**sound:animations/Stand/Waiting/KnockEye_1	
corrupt		**sound:animations/Stand/Waiting/KnockEye_1
are_remembered_by	***animations/Stand/Waiting/ScratchHead_1	
are_recalled_by		***animations/Stand/Waiting/ScratchHead_1
drink_with	***animations/Stand/Waiting/Drink_1	
challenge	**animations/Stand/Waiting/KungFu_1, *animations/Stand/Gestures/Thinking_4	
are_challenged_by	**animations/Stand/Waiting/KungFu_1	
are_venerated_by		***animations/Stand/Waiting/ShowSky_1, ***animations/Stand/Gestures/ShowSky_12
_are_heckled_by	**sound:animations/Stand/Waiting/Taxi_1	
identify_with	***animations/Stand/Gestures/Me_7, *animations/Stand/Gestures/Me_1, **animations/Stand/Gestures/Me_8, ***animations/Stand/Gestures/Me_2, ***animations/Stand/Gestures/Me_6	
lend_to	***animations/Stand/BodyTalk/Speaking/BodyTalk_6, **animations/Stand/Gestures/Thinking_7, *animations/Stand/Gestures/This_15, **animations/Stand/Gestures/WhatSThis_2, **animations/Stand/Gestures/Give_2, ***animations/Stand/Gestures/Give_5	**animations/Stand/Gestures/Me_7, *animations/Stand/Gestures/Me_8
fool	*animations/Stand/Gestures/JointHands_3	
are_released_by	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Waiting/HideHands_1, **animations/Stand/Gestures/Give_3, **animations/Stand/Gestures/Confused_1	**animations/Stand/Gestures/WhatSThis_6, **animations/Stand/Gestures/Give_1, ***animations/Stand/Gestures/Joy_1, ***animations/Stand/Gestures/CountMore_2, *animations/Stand/Gestures/No_7, **animations/Stand/Gestures/ShowFloor_5, **animations/Stand/Gestures/ShowFloor_1
sacrifice_to	*animations/Stand/Gestures/WhatSThis_6, **animations/Stand/Gestures/ShowSky_2, **animations/Stand/Gestures/WhatSThis_2, *animations/Stand/Gestures/This_10	
appeal_to	**animations/Stand/Gestures/ShowSky_12, **animations/Stand/Gestures/WhatSThis_14, **animations/Stand/Gestures/Explain_4, **animations/Stand/Gestures/ShowSky_3, *animations/Stand/Gestures/ShowSky_2, **animations/Stand/Gestures/Explain_1, *animations/Stand/Gestures/This_3, **animations/Stand/Gestures/Explain_7	
speak_through	**animations/Stand/Gestures/ShowSky_12, **animations/Stand/Gestures/This_1	
settle_with	***animations/Stand/Gestures/Everything_4, ***animations/Stand/Gestures/CalmDown_4, ***animations/Stand/Gestures/CalmDown_1, ***animations/Stand/Gestures/Everything_6, ***animations/Stand/Gestures/CalmDown_3, *animations/Stand/Gestures/Everything_1, ***animations/Stand/Gestures/Claw_1, **animations/Stand/Gestures/Everything_5	
dismiss	**animations/Stand/Gestures/Everything_4, **animations/Stand/Gestures/No_1, *animations/Stand/Gestures/Reject_1, **animations/Stand/Gestures/This_13, **animations/Stand/Gestures/No_3, *animations/Stand/Gestures/Everything_6, **animations/Stand/Gestures/No_9, *animations/Stand/Gestures/Nothing_2, **animations/Stand/Gestures/Everything_1, ***animations/Stand/Gestures/Reject_6	
are_dismissed_by	***animations/Stand/Gestures/Reject_6	**animations/Stand/Gestures/Everything_4, **animations/Stand/Gestures/No_1, *animations/Stand/Gestures/Reject_1, **animations/Stand/Gestures/This_13, **animations/Stand/Gestures/No_3, *animations/Stand/Gestures/Everything_6, **animations/Stand/Gestures/No_9, *animations/Stand/Gestures/Nothing_2, **animations/Stand/Gestures/Everything_1
seek_advice_from	*animations/Stand/Gestures/Explain_11, *animations/Stand/Gestures/WhatSThis_14, **animations/Stand/Gestures/ShowSky_3, **animations/Stand/Gestures/Confused_2	
complain_to	*animations/Stand/Gestures/Explain_11, *animations/Stand/Gestures/WhatSThis_15	
mate_with	*animations/Stand/Gestures/Yum_1, ***animations/Stand/Gestures/Angry_2	
sleep_with	*animations/Stand/Gestures/Yum_1, ***animations/Stand/Gestures/Angry_2	
are_deflowered_by	*animations/Stand/Gestures/Yum_1	
conquer	*animations/Stand/Gestures/Far_3, **animations/Stand/Gestures/ShowSky_5	
are_conquered_by		*animations/Stand/Gestures/Far_3, **animations/Stand/Gestures/ShowSky_5
argue_before	**animations/Stand/Gestures/Explain_8, **animations/Stand/Gestures/WhatSThis_14, **animations/Stand/Gestures/This_8, *animations/Stand/Gestures/This_14, *animations/Stand/Gestures/Choice_2	
communicate_through	*animations/Stand/Gestures/Explain_8, **animations/Stand/Gestures/This_1	
communicate_via	*animations/Stand/Gestures/Explain_8, **animations/Stand/Gestures/This_1	
eject	**animations/Stand/Gestures/Reject_5, **animations/Stand/Gestures/Give_4	
are_ejected_by		**animations/Stand/Gestures/Reject_5, **animations/Stand/Gestures/Give_4
supplant	**animations/Stand/Gestures/Reject_5	
are_supplanted_by		**animations/Stand/Gestures/Reject_5
inherit_from	*animations/Stand/Gestures/Reject_5, *animations/Stand/Gestures/Next_1, *animations/Stand/Gestures/Give_5, **animations/Stand/Gestures/CountThree_1, **animations/Stand/Gestures/CountThree_2	
take_aim_at	*animations/Stand/Gestures/CalmDown_6, *animations/Stand/Gestures/You_1, *animations/Stand/Gestures/You_2	
target	*animations/Stand/Gestures/CalmDown_6, *animations/Stand/Gestures/You_1, *animations/Stand/Gestures/You_2	
are_targeted_by		*animations/Stand/Gestures/CalmDown_6, *animations/Stand/Gestures/You_1, *animations/Stand/Gestures/You_2
respect	**animations/Stand/Gestures/Salute_3, **animations/Stand/Gestures/WhatSThis_1, *animations/Stand/Gestures/BowShort_1	
are_respected_by	**animations/Stand/Gestures/WhatSThis_1	**animations/Stand/Gestures/Salute_3, *animations/Stand/Gestures/BowShort_1
owe	*animations/Stand/Gestures/Thinking_7, ***animations/Stand/Gestures/Coaxing_1, **animations/Stand/Gestures/Me_6, ***animations/Stand/Gestures/Me_5, ***animations/Stand/Gestures/Me_4	
are_owed_by		*animations/Stand/Gestures/Thinking_7, ***animations/Stand/Gestures/Coaxing_1, **animations/Stand/Gestures/Me_6, ***animations/Stand/Gestures/Me_5, ***animations/Stand/Gestures/Me_4
are_spurned_by		***iconic_actions-4373e0/spurn
spurn	***iconic_actions-4373e0/spurn	
are_blessed_by		***animations/Stand/Gestures/ShowSky_8, *animations/Stand/Gestures/ShowSky_4
design_for	**animations/Stand/Gestures/ShowSky_8	
starve	***iconic_actions-4373e0/starve	**animations/Stand/Gestures/Hungry_1, **animations/Stand/Gestures/Freeze_1
kiss_up_to	***iconic_actions-4373e0/kiss,***animations/Stand/Gestures/Kisses_1	
are_kissed_by		***iconic_actions-4373e0/kiss,***animations/Stand/Gestures/Kisses_1
massage	**animations/Stand/Gestures/Please_3, **animations/Stand/Gestures/Caress_2, ***animations/Stand/Gestures/Claw_2, *animations/Stand/Gestures/Caress_1	
are_scripted_by		*animations/Stand/Gestures/Please_3, ***animations/Stand/Gestures/Claw_2
are_introduced_by	**animations/Stand/Gestures/Hey_5, **animations/Stand/Gestures/Hey_2, **animations/Stand/Gestures/Me_3, **animations/Stand/Gestures/Hey_4	***animations/Stand/Gestures/Far_1, **animations/Stand/Gestures/Far_2, *animations/Stand/Gestures/This_12, **animations/Stand/Gestures/WhatSThis_1
spy_on	**animations/Stand/Gestures/Surprised_1, **animations/Stand/Gestures/Look_2	
export_to	***animations/Stand/Gestures/Give_4	
travel_with	*animations/Stand/Gestures/Wings_4	
imitate	**animations/Stand/Gestures/Mime_1, **animations/Stand/Gestures/Wings_1, **animations/Stand/Gestures/Mime_2	
are_imitated_by		**animations/Stand/Gestures/Mime_1, **animations/Stand/Gestures/Wings_1, **animations/Stand/Gestures/Mime_2
listen_to	*animations/Stand/Emotions/Neutral/Innocent_1	**animations/Stand/Gestures/Explain_4
talk_to	**animations/Stand/Gestures/Explain_4	
speak_with	**animations/Stand/Gestures/Explain_4	
communicate_with	**animations/Stand/Gestures/Explain_4	
speak_to	**animations/Stand/Gestures/Explain_4	
debrief	**animations/Stand/Gestures/Explain_4	
chat_with	**animations/Stand/Gestures/Explain_4	
reward	*animations/Stand/Gestures/ShowSky_3	
are_rewarded_by		*animations/Stand/Gestures/ShowSky_3
disrespect	***animations/Stand/BodyTalk/Speaking/BodyTalk_13, **animations/Stand/Gestures/But_1	**animations/Stand/Gestures/Angry_3
offend	***animations/Stand/BodyTalk/Speaking/BodyTalk_13, **animations/Stand/Gestures/But_1	**animations/Stand/Gestures/Angry_3
struggle_against	**animations/Stand/Gestures/Angry_3	
struggle_with	**animations/Stand/Gestures/Angry_3	
are_dumped_by	*animations/Stand/Gestures/Angry_3, *animations/Stand/Gestures/This_9, *animations/Stand/Gestures/Angry_1	
dump	*animations/Stand/Gestures/This_9, **animations/Stand/Gestures/Reject_1, ***animations/Stand/Gestures/Reject_4, **animations/Stand/Gestures/Reject_6, *animations/Stand/Gestures/Angry_1	*animations/Stand/Gestures/Angry_3
dress		**animations/Stand/Gestures/Wings_1
speak_for	**animations/Stand/Gestures/This_1	
are_named_by	***animations/Stand/Gestures/Me_3	*animations/Stand/Gestures/This_1
farm_for	*animations/Stand/Gestures/CountTwo_1	
let_go_of	**animations/Stand/Gestures/This_9, *animations/Stand/Gestures/Desperate_2, **animations/Stand/Gestures/WhatSThis_4, **animations/Stand/Gestures/No_3, **animations/Stand/Gestures/WhatSThis_5, **animations/Stand/Gestures/WhatSThis_1, *animations/Stand/Gestures/No_7, *animations/Stand/Gestures/This_10, **animations/Stand/Gestures/ShowFloor_5, **animations/Stand/Gestures/Reject_6, **animations/Stand/Gestures/ShowFloor_1	
advocate_for	*animations/Stand/Gestures/Far_2, **animations/Stand/Gestures/Explain_9	
represent	***animations/Stand/Gestures/Me_2, ***animations/Stand/Gestures/Me_6, **animations/Stand/Gestures/Me_5, **animations/Stand/Gestures/Me_4	
are_represented_by		***animations/Stand/Gestures/Me_2, ***animations/Stand/Gestures/Me_6, **animations/Stand/Gestures/Me_5, **animations/Stand/Gestures/Me_4
cast_out	**animations/Stand/Gestures/Caress_2, ***animations/Stand/Gestures/Reject_4, **animations/Stand/Gestures/ShowSky_6	
write_about	**animations/Stand/Gestures/Claw_2, ***animations/Stand/Gestures/Follow_1	
are_published_by		**animations/Stand/Gestures/Claw_2
write_to	**animations/Stand/Gestures/Claw_2, ***animations/Stand/Gestures/Follow_1	
are_toppled_by	*animations/Stand/Waiting/Stretch_3, **animations/Stand/Gestures/This_2	**animations/Stand/Gestures/Take_1
subdue	**animations/Stand/Gestures/Take_1	
are_subdued_by		**animations/Stand/Gestures/Take_1
despise	**animations/Stand/Gestures/Thinking_3, *animations/Stand/Gestures/YouKnowWhat_2, **animations/Stand/Gestures/No_6, **animations/Stand/Gestures/Desperate_5, **animations/Stand/Gestures/Desperate_1, ***animations/Stand/Gestures/Desperate_3	
are_despised_by		**animations/Stand/Gestures/Thinking_3, *animations/Stand/Gestures/YouKnowWhat_2, **animations/Stand/Gestures/No_6, **animations/Stand/Gestures/Desperate_5, **animations/Stand/Gestures/Desperate_1, ***animations/Stand/Gestures/Desperate_3
deceive	***iconic_actions-4373e0/deceive,**animations/Stand/Gestures/Hide_1	
are_deceived_by		***iconic_actions-4373e0/deceive,**animations/Stand/Gestures/Hide_1
are_rebuffed_by	**animations/Stand/Reactions/SeeSomething_7, *animations/Stand/Gestures/Angry_3, **animations/Stand/Gestures/No_9	**animations/Stand/Gestures/No_1, **animations/Stand/Gestures/This_13, **animations/Stand/Gestures/No_3, ***animations/Stand/Gestures/Reject_4
pamper	***animations/Stand/Gestures/Caress_1	
tend	**animations/Stand/Gestures/Caress_1	
are_tended_by		**animations/Stand/Gestures/Caress_1
care_for	**animations/Stand/Gestures/Caress_1	
are_cared_for_by		**animations/Stand/Gestures/Caress_1
break_with	**animations/Stand/Gestures/IDontKnow_5, **animations/Stand/Gestures/No_3	
are_uncovered_by	**sound:animations/Stand/Emotions/Negative/Fear_2, **sound:animations/Stand/Emotions/Negative/Surprise_1, *sound:animations/Stand/Emotions/Negative/Fear_1, *sound:animations/Stand/Emotions/Negative/Surprise_3, *sound:animations/Stand/Emotions/Negative/Surprise_2, **animations/Stand/Emotions/Neutral/Cautious_1, *animations/Stand/Gestures/Everything_3	*animations/Stand/Gestures/IDontKnow_5
