gesture	time	strong	moderate 	weak
animations/Stand/Emotions/Neutral/Mischievous_1	6.084840059	lay_a_trap_for,manipulate,*are_manipulated_by	*are_lured_by,seduce,*are_seduced_by,brainwash,*are_brainwashed_by,influence,*are_influenced_by,indoctrinate,*are_indoctrinated_by	
animations/Stand/Emotions/Neutral/Puzzled_1	6.181187868	are_inspired_by,*inspire,grow_suspicious_of	are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_by	
animations/Stand/Emotions/Neutral/Alienated_1	10.58615398	*alienate 	*impress,are_impressed_by 	
animations/Stand/Emotions/Neutral/Embarrassed_1	7.615257025	are_embarrassed_by,*embarass		
animations/Stand/Waiting/Relaxation_3	4.354755878			are_overthrown_by,*overthrow 
animations/Stand/Waiting/ScratchTorso_1	4.524940968		breastfeed,impersonate,*are_impersonated_by 	
animations/Stand/Waiting/LookHand_1	7.586081982		*enchant,are_enchanted_by,are_inspired_by,*inspire	
*animations/Stand/Waiting/CallSomeone_1	8.48542285		*are_lured_by	
*animations/Stand/Waiting/WakeUp_1	#N/A			are_healed_by,*heal,*cure
animations/Stand/Waiting/Innocent_1	6.646052837	confess_to 	beg_forgiveness_from,*are_begged_by,seek_forgiveness_from 	
animations/Stand/Waiting/ShowMuscles_5	5.296987057	fight_with,fight,*are_fought_by,fight_against 	taunt,are_taunted_by 	
animations/Stand/Waiting/Relaxation_2	6.745934963	share_stories_with 	praise 	
animations/Stand/Waiting/Waddle_1	5.89366293		*are_usurped_by 	cede_power_to 
animations/Stand/Waiting/Binoculars_1	8.373539925	watch_over,look_after,search_for,look_for,seek,*are_sought_by,hunt,*are_hunted_by	cry_for 	
animations/Stand/Waiting/ScratchBack_1	6.853368998			conspire_with,collude_with
*animations/Stand/Waiting/TakePicture_1	#N/A	photograph,*are_photographed_by 		
*animations/Stand/Waiting/ShowMuscles_4	3.978971004	fight_with,fight,*are_fought_by,fight_against 	taunt,are_taunted_by 	
animations/Stand/Waiting/FunnyDancer_1	#N/A		mimic 	
animations/Stand/Waiting/ShowMuscles_1	8.696393013			are_hardened_by
animations/Stand/Waiting/Fitness_3	14.54256082			pick_up 
animations/Stand/Waiting/Think_4	6.41150403		are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_byare_inspired_by,*inspire,grow_suspicious_of	are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_by
*animations/Stand/Waiting/DriveCar_1	15.30147886	*are_driven_around_by,*are_driven_by,drive_for 		
animations/Stand/Waiting/Stretch_1	8.341037989		bow_down_to 	
animations/Stand/Waiting/LookHand_2	5.519006968		*enchant,are_enchanted_by,are_inspired_by,*inspire	
animations/Stand/Waiting/ShowSky_2	7.272589207	look_up_to 	inspire,*are_inspired_by	
animations/Stand/Waiting/Think_1	5.891208172		are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_byare_inspired_by,*inspire,grow_suspicious_of	are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_by
animations/Stand/Waiting/Knight_1	9.681134939		fight_for,fight,*are_fought_by,fight_with,fight_against	
animations/Stand/Waiting/FunnySlide_1	#N/A		entertain,*are_entertained_by 	joke_about 
animations/Stand/Waiting/Headbang_1	12.80774188	rebel_against 	campaign_against,rise_against 	
animations/Stand/Waiting/HideHands_1	#N/A	break_free_of,*free,are_freed_by,*release,are_released_by		
animations/Stand/Waiting/Fitness_2	14.19114113	*train,are_trained_by,train_with 	are_drilled_by	
*animations/Stand/Waiting/MysticalPower_1	1.121188879	mystify,*are_mystified_by 		
animations/Stand/Waiting/ScratchHand_1	5.476279974			write_for,create_for,translate_for 
animations/Stand/Waiting/ShowMuscles_2	5.700977087	*train,are_trained_by,train_with 		
animations/Stand/Waiting/Fitness_1	14.28285909	*train,are_trained_by,train_with 		
animations/Stand/Waiting/BackRubs_1	10.04858184			are_enslaved_by,*enslave
animations/Stand/Waiting/ShowMuscles_3	8.449163914	are_championed_by,*champion,model_for,pose_for 		
animations/Stand/Waiting/Stretch_3	7.289125919			are_toppled_by,*topple
*animations/Stand/Waiting/Monster_1	8.740505934		fear,*are_feared_by,threaten,*are_threatened_by 	
animations/Stand/Waiting/Think_3	5.591422081	are_inspired_by,*inspire,grow_suspicious_of	are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_by	
animations/Stand/Waiting/Think_2	5.187454224	are_inspired_by,*inspire,grow_suspicious_of	are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_by	
animations/Stand/Waiting/Waddle_2	8.865579128		are_unimpressed_by,are_unimpressed_with,*fail_to_impress 	wait_on,*are_waited_upon_by 
*animations/Stand/Waiting/Helicopter_1	17.57082701			are_hunted_by,*hunt 
