bow_down_to	animations/Stand/Reactions/EthernetOff_1, animations/Stand/Reactions/SeeSomething_4, animations/Stand/Gestures/BowShort_1, animations/Stand/Gestures/Salute_2	animations/Stand/Reactions/EthernetOff_1, animations/Stand/Reactions/SeeSomething_4, animations/Stand/Gestures/BowShort_1, animations/Stand/Gestures/Salute_2
obey	animations/Stand/Reactions/EthernetOff_1	animations/Stand/Reactions/EthernetOff_1
are_obeyed_by		
are_disillusioned_by	animations/Stand/Reactions/EthernetOff_1, animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Gestures/WhatSThis_13	animations/Stand/Reactions/EthernetOff_1, animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Gestures/WhatSThis_13
disillusion		
are_frustrated_by	animations/Stand/Emotions/Negative/Disappointed_1	animations/Stand/Emotions/Negative/Disappointed_1
are_overwhelmed_by		
are_embarrassed_by	animations/Stand/Reactions/SeeSomething_7, animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Sad_2, animations/Stand/Emotions/Negative/Disappointed_1, animations/Stand/Emotions/Neutral/Innocent_1, animations/Stand/Emotions/Neutral/Lonely_1, animations/Stand/Emotions/Neutral/Embarrassed_1	animations/Stand/Reactions/SeeSomething_7, animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Sad_2, animations/Stand/Emotions/Negative/Disappointed_1, animations/Stand/Emotions/Neutral/Innocent_1, animations/Stand/Emotions/Neutral/Lonely_1, animations/Stand/Emotions/Neutral/Embarrassed_1
embarrass		
are_rebuffed_by	animations/Stand/Reactions/SeeSomething_7	animations/Stand/Reactions/SeeSomething_7
rebuff		
are_rebuked_by	animations/Stand/Reactions/SeeSomething_7	animations/Stand/Reactions/SeeSomething_7
are_enslaved_by	animations/Stand/Reactions/SeeSomething_4, animations/Stand/Waiting/BackRubs_1	animations/Stand/Reactions/SeeSomething_4, animations/Stand/Waiting/BackRubs_1
enslave		
are_imprisoned_by	animations/Stand/Reactions/SeeSomething_4	animations/Stand/Reactions/SeeSomething_4
imprison		
are_detained_by	animations/Stand/Reactions/SeeSomething_4	animations/Stand/Reactions/SeeSomething_4
detain		
take_as_prisoner		
arrest		
decapitate		
murder		
